state_fips_code,state_name,forecast_date,prediction_date,new_confirmed,cumulative_confirmed,new_deaths,cumulative_deaths,hospitalized_patients,intensive_care_patients,ventilator_patients,recovered,new_confirmed_ground_truth,cumulative_confirmed_ground_truth,new_deaths_ground_truth,cumulative_deaths_ground_truth,hospitalized_patients_ground_truth,intensive_care_patients_ground_truth,ventilator_patients_ground_truth,recovered_documented_ground_truth
50,Vermont,2020-08-24,2020-07-15,,,,,,,,,13.0,1318.0,0.0,56.0,19.0,,,1104.0
56,Wyoming,2020-08-24,2020-07-15,,,,,,,,,35.0,1985.0,0.0,22.0,17.0,,,1506.0
30,Montana,2020-08-24,2020-07-15,,,,,,,,,144.0,2096.0,0.0,34.0,37.0,,,915.0
15,Hawaii,2020-08-24,2020-07-15,,,,,,,,,28.0,1271.0,0.0,21.0,31.0,,,921.0
38,North Dakota,2020-08-24,2020-07-15,,,,,,,,,72.0,4565.0,0.0,88.0,42.0,,,3760.0
33,New Hampshire,2020-08-24,2020-07-15,,,,,,,,,22.0,6113.0,2.0,394.0,23.0,,,5101.0
46,South Dakota,2020-08-24,2020-07-15,,,,,,,,,80.0,7652.0,2.0,111.0,59.0,,,6663.0
10,Delaware,2020-08-24,2020-07-15,,,,,,,,,81.0,13050.0,3.0,521.0,51.0,11.0,,7236.0
40,Oklahoma,2020-08-24,2020-07-15,,,,,,,,,1074.0,22814.0,4.0,432.0,561.0,231.0,,17366.0
45,South Carolina,2020-08-24,2020-07-15,,,,,,,,,1856.0,62245.0,5.0,998.0,1560.0,,,23849.0
31,Nebraska,2020-08-24,2020-07-15,,,,,,,,,262.0,21979.0,5.0,291.0,110.0,,,16205.0
49,Utah,2020-08-24,2020-07-15,,,,,,,,,356.0,24880.0,5.0,192.0,250.0,83.0,,18593.0
35,New Mexico,2020-08-24,2020-07-15,,,,,,,,,327.0,15841.0,6.0,557.0,171.0,,,6429.0
08,Colorado,2020-08-24,2020-07-15,,,,,,,,,469.0,38137.0,6.0,1744.0,368.0,,,4844.0
16,Idaho,2020-08-24,2020-07-15,,,,,,,,,729.0,12449.0,7.0,110.0,153.0,35.0,,3360.0
24,Maryland,2020-08-24,2020-07-15,,,,,,,,,756.0,75016.0,7.0,3341.0,447.0,129.0,,5238.0
09,Connecticut,2020-08-24,2020-07-15,,,,,,,,,106.0,47636.0,8.0,4380.0,67.0,,,8351.0
21,Kentucky,2020-08-24,2020-07-15,,,,,,,,,454.0,20677.0,10.0,645.0,445.0,92.0,,5475.0
27,Minnesota,2020-08-24,2020-07-15,,,,,,,,,572.0,43742.0,10.0,1558.0,254.0,106.0,,38179.0
